s,t,Open,High,Low,Close,Volume,Date
ok,1562889600,1270.95,1287.79,1266.05,1268.48,7242059,2019-07-12 05:30:00
ok,1563148800,1272.93,1277.39,1258.42,1264.12,4919358,2019-07-15 05:30:00
ok,1563235200,1267.93,1282.74,1265.06,1280.86,4647662,2019-07-16 05:30:00
ok,1563321600,1282.15,1284.82,1267.98,1269.81,4376050,2019-07-17 05:30:00
ok,1563408000,1269.96,1274.32,1246.19,1250.0,5511652,2019-07-18 05:30:00
ok,1563494400,1256.29,1261.0,1231.03,1237.27,7539312,2019-07-19 05:30:00
ok,1563753600,1239.25,1272.44,1215.78,1268.48,13426230,2019-07-22 05:30:00
ok,1563840000,1272.93,1281.75,1248.56,1261.59,9375995,2019-07-23 05:30:00
ok,1563926400,1261.54,1266.79,1241.78,1247.28,7009806,2019-07-24 05:30:00
ok,1564012800,1252.13,1257.13,1215.48,1219.94,10063040,2019-07-25 05:30:00
ok,1564099200,1219.94,1230.83,1198.64,1202.4,9408833,2019-07-26 05:30:00
ok,1564358400,1205.47,1210.53,1193.78,1199.58,8134420,2019-07-29 05:30:00
ok,1564444800,1202.55,1208.54,1164.91,1169.81,9623714,2019-07-30 05:30:00
ok,1564531200,1164.71,1173.87,1151.48,1155.3,9797622,2019-07-31 05:30:00
ok,1564617600,1152.48,1177.04,1139.55,1169.17,10442924,2019-08-01 05:30:00
ok,1564704000,1164.66,1187.0,1151.19,1173.23,10968382,2019-08-02 05:30:00
ok,1564963200,1156.04,1156.04,1117.41,1132.61,14029200,2019-08-05 05:30:00
ok,1565049600,1124.09,1138.8,1111.46,1117.7,13414879,2019-08-06 05:30:00
ok,1565136000,1115.92,1127.86,1092.74,1098.98,11698734,2019-08-07 05:30:00
ok,1565222400,1097.94,1147.13,1085.01,1141.53,14398139,2019-08-08 05:30:00
ok,1565308800,1150.94,1164.46,1141.48,1151.19,10139159,2019-08-09 05:30:00
ok,1565654400,1221.57,1290.57,1214.49,1262.78,48377726,2019-08-13 05:30:00
ok,1565740800,1291.76,1292.2,1268.33,1276.15,14624465,2019-08-14 05:30:00
ok,1565913600,1279.08,1279.67,1261.05,1266.0,10142740,2019-08-16 05:30:00
ok,1566172800,1269.02,1284.62,1267.98,1280.46,7530573,2019-08-19 05:30:00
ok,1566259200,1277.69,1280.46,1260.65,1263.97,6908331,2019-08-20 05:30:00
ok,1566345600,1263.67,1266.64,1254.61,1259.02,4927827,2019-08-21 05:30:00
ok,1566432000,1259.02,1259.06,1227.27,1235.04,6475746,2019-08-22 05:30:00
ok,1566518400,1227.37,1271.94,1214.98,1263.87,9833603,2019-08-23 05:30:00
ok,1566777600,1281.85,1281.85,1247.18,1254.9,8861956,2019-08-26 05:30:00
ok,1566864000,1272.93,1272.93,1249.36,1262.88,13107479,2019-08-27 05:30:00
ok,1566950400,1261.79,1268.97,1244.26,1251.44,5355933,2019-08-28 05:30:00
ok,1567036800,1244.65,1248.42,1223.7,1230.09,8717837,2019-08-29 05:30:00
ok,1567123200,1233.8,1242.62,1209.53,1236.83,11415313,2019-08-30 05:30:00
ok,1567468800,1230.58,1231.33,1188.73,1195.07,8644181,2019-09-03 05:30:00
ok,1567555200,1189.28,1193.93,1174.91,1189.87,15206146,2019-09-04 05:30:00
ok,1567641600,1195.47,1201.81,1182.09,1187.34,10612417,2019-09-05 05:30:00
ok,1567728000,1191.7,1217.46,1184.03,1211.02,10700717,2019-09-06 05:30:00
ok,1567987200,1209.19,1221.42,1201.76,1210.72,5421669,2019-09-09 05:30:00
ok,1568160000,1211.02,1228.36,1211.02,1222.81,5597026,2019-09-11 05:30:00
ok,1568246400,1223.4,1228.8,1194.38,1198.98,5482623,2019-09-12 05:30:00
ok,1568332800,1200.62,1216.96,1195.57,1214.09,5975371,2019-09-13 05:30:00
ok,1568592000,1177.83,1207.65,1174.96,1199.38,9482777,2019-09-16 05:30:00
ok,1568678400,1199.63,1199.63,1182.29,1186.21,7218216,2019-09-17 05:30:00
ok,1568764800,1193.64,1204.88,1185.96,1194.38,6891999,2019-09-18 05:30:00
ok,1568851200,1196.51,1198.34,1161.64,1167.98,6353112,2019-09-19 05:30:00
ok,1568937600,1176.79,1257.98,1163.27,1242.57,22228406,2019-09-20 05:30:00
ok,1569196800,1262.19,1268.97,1223.4,1227.56,9973404,2019-09-23 05:30:00
ok,1569283200,1231.92,1286.6,1231.08,1266.69,16133566,2019-09-24 05:30:00
ok,1569369600,1271.94,1282.84,1256.94,1267.53,8395733,2019-09-25 05:30:00
ok,1569456000,1279.87,1286.6,1271.45,1284.62,8468736,2019-09-26 05:30:00
ok,1569542400,1280.36,1302.65,1271.94,1296.76,8795573,2019-09-27 05:30:00
ok,1569801600,1297.7,1323.21,1293.29,1319.74,11659230,2019-09-30 05:30:00
ok,1569888000,1324.45,1329.4,1281.16,1292.65,8270257,2019-10-01 05:30:00
ok,1570060800,1273.92,1302.35,1269.27,1298.74,6241719,2019-10-03 05:30:00
ok,1570147200,1307.51,1316.12,1291.61,1295.82,6918925,2019-10-04 05:30:00
ok,1570406400,1295.82,1308.4,1289.48,1297.8,4643421,2019-10-07 05:30:00
ok,1570579200,1296.41,1317.46,1280.36,1312.31,8117161,2019-10-09 05:30:00
ok,1570665600,1312.56,1356.14,1308.6,1349.95,16155449,2019-10-10 05:30:00
ok,1570752000,1350.89,1352.78,1324.0,1339.9,7659574,2019-10-11 05:30:00
ok,1571011200,1352.13,1352.13,1338.17,1345.25,6181458,2019-10-14 05:30:00
ok,1571097600,1349.71,1357.14,1341.58,1351.34,4463993,2019-10-15 05:30:00
ok,1571184000,1357.04,1366.69,1350.89,1359.46,8954789,2019-10-16 05:30:00
ok,1571270400,1362.09,1385.86,1359.12,1383.39,7401971,2019-10-17 05:30:00
ok,1571356800,1390.82,1414.49,1385.57,1403.05,12978280,2019-10-18 05:30:00
